,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,9/17/2014,468.1426121,-542.271374,2157.751778,468.1426121,468.1426121,310.8455041,310.8455041,310.8455041,3.208377826,3.208377826,3.208377826,307.6371263,307.6371263,307.6371263,0,0,0,778.9881163
1,9/18/2014,467.5854486,-628.9584207,2044.897358,467.5854486,467.5854486,270.7289574,270.7289574,270.7289574,-14.4545004,-14.4545004,-14.4545004,285.1834578,285.1834578,285.1834578,0,0,0,738.314406
2,9/19/2014,467.028285,-572.3385124,2125.459874,467.028285,467.028285,259.0200822,259.0200822,259.0200822,-2.583910391,-2.583910391,-2.583910391,261.6039926,261.6039926,261.6039926,0,0,0,726.0483672
3,9/20/2014,466.4711214,-636.403546,2028.731255,466.4711214,466.4711214,245.8647292,245.8647292,245.8647292,9.118442295,9.118442295,9.118442295,236.7462869,236.7462869,236.7462869,0,0,0,712.3358507
4,9/21/2014,465.9139579,-599.4141577,1944.554581,465.9139579,465.9139579,202.3421946,202.3421946,202.3421946,-8.156843272,-8.156843272,-8.156843272,210.4990379,210.4990379,210.4990379,0,0,0,668.2561525
5,9/22/2014,465.3567943,-529.1804084,2010.194115,465.3567943,465.3567943,195.8400062,195.8400062,195.8400062,13.04104266,13.04104266,13.04104266,182.7989636,182.7989636,182.7989636,0,0,0,661.1968005
6,9/23/2014,464.7996307,-708.1835204,1881.656043,464.7996307,464.7996307,153.4639097,153.4639097,153.4639097,-0.172608715,-0.172608715,-0.172608715,153.6365184,153.6365184,153.6365184,0,0,0,618.2635405
7,9/24/2014,464.2424672,-702.270069,1862.713233,464.2424672,464.2424672,126.2686075,126.2686075,126.2686075,3.208377826,3.208377826,3.208377826,123.0602297,123.0602297,123.0602297,0,0,0,590.5110747
8,9/25/2014,463.6853036,-680.8949066,1802.150249,463.6853036,463.6853036,76.72497332,76.72497332,76.72497332,-14.4545004,-14.4545004,-14.4545004,91.17947372,91.17947372,91.17947372,0,0,0,540.4102769
9,9/26/2014,463.1281401,-749.2452932,1910.23853,463.1281401,463.1281401,55.5816392,55.5816392,55.5816392,-2.583910391,-2.583910391,-2.583910391,58.16554959,58.16554959,58.16554959,0,0,0,518.7097793
10,9/27/2014,462.5709765,-837.3644407,1756.651389,462.5709765,462.5709765,33.36939206,33.36939206,33.36939206,9.118442295,9.118442295,9.118442295,24.25094977,24.25094977,24.25094977,0,0,0,495.9403686
11,9/28/2014,462.0138129,-926.799615,1759.05185,462.0138129,462.0138129,-18.43006605,-18.43006605,-18.43006605,-8.156843272,-8.156843272,-8.156843272,-10.27322278,-10.27322278,-10.27322278,0,0,0,443.5837469
12,9/29/2014,461.4566494,-885.5821254,1774.35598,461.4566494,461.4566494,-32.02064891,-32.02064891,-32.02064891,13.04104266,13.04104266,13.04104266,-45.06169157,-45.06169157,-45.06169157,0,0,0,429.4360005
13,9/30/2014,460.8994858,-876.558305,1637.645619,460.8994858,460.8994858,-79.89385389,-79.89385389,-79.89385389,-0.172608715,-0.172608715,-0.172608715,-79.72124518,-79.72124518,-79.72124518,0,0,0,381.0056319
14,10/1/2014,460.3423222,-899.4146152,1591.184649,460.3423222,460.3423222,-110.6102941,-110.6102941,-110.6102941,3.208377826,3.208377826,3.208377826,-113.8186719,-113.8186719,-113.8186719,0,0,0,349.7320282
15,10/2/2014,459.7851587,-988.6925656,1597.594585,459.7851587,459.7851587,-161.3447338,-161.3447338,-161.3447338,-14.4545004,-14.4545004,-14.4545004,-146.8902334,-146.8902334,-146.8902334,0,0,0,298.4404249
16,10/3/2014,459.2279951,-988.86547,1633.140933,459.2279951,459.2279951,-181.0363817,-181.0363817,-181.0363817,-2.583910391,-2.583910391,-2.583910391,-178.4524713,-178.4524713,-178.4524713,0,0,0,278.1916134
17,10/4/2014,458.6708316,-1027.559596,1587.088737,458.6708316,458.6708316,-198.8956538,-198.8956538,-198.8956538,9.118442295,9.118442295,9.118442295,-208.0140961,-208.0140961,-208.0140961,0,0,0,259.7751777
18,10/5/2014,458.113668,-1113.990869,1499.799806,458.113668,458.113668,-243.2455128,-243.2455128,-243.2455128,-8.156843272,-8.156843272,-8.156843272,-235.0886696,-235.0886696,-235.0886696,0,0,0,214.8681552
